figure,dataset,sample,idx,model,sigma,psnr,ssim,corr,mae,rmse,theta_l2,warp_rgb_mae,note
hero,ann_arbor,326,14,ours,0.3,16.935070037841797,0.5968586802482605,0.8703930927469403,0.0754244327545166,0.1423136293888092,0.025865741074085236,0.13513265550136566,locked Week 7 checkpoint
hero,ann_arbor,326,14,baseline,0.3,16.009435653686523,0.5686850547790527,0.8415927157424988,0.09346252679824829,0.15831723809242249,0.0,0.1672840714454651,ConvNeXt no-registration
failure,ann_arbor,97,33,ours,0.3,13.261249542236328,0.43609222769737244,0.7468710464197221,0.14875167608261108,0.2172388732433319,0.03317256271839142,0.08459366112947464,selected among two lowest validation PSNR rows
failure,ann_arbor,97,33,baseline,0.3,12.783143997192383,0.433945894241333,0.7083893385173479,0.16149857640266418,0.22953176498413086,0.0,0.12419766932725906,same sample
failure,ann_arbor,124,3,ours,0.3,13.97087287902832,0.4243197441101074,0.6798831785792167,0.13541913032531738,0.20019644498825073,0.027656208723783493,0.06169544905424118,selected among two lowest validation PSNR rows
failure,ann_arbor,124,3,baseline,0.3,13.724226951599121,0.41194286942481995,0.6514865741256041,0.14427563548088074,0.20596273243427277,0.0,0.05891413614153862,same sample
recovery,ann_arbor,326,14,ours,0.0,17.030635833740234,0.5952249765396118,0.8774499169059418,0.08006002008914948,0.14075642824172974,0.024960840120911598,0.08694696426391602,same scene across synthetic severity
recovery,ann_arbor,326,14,baseline,0.0,16.84364128112793,0.5904785394668579,0.8728758064095052,0.08875206857919693,0.14381957054138184,0.0,0.0,same scene across synthetic severity
recovery,ann_arbor,326,14,ours,0.2,18.390668869018555,0.627699613571167,0.9096793481265883,0.06610739231109619,0.12035568058490753,0.027544666081666946,0.0963275283575058,same scene across synthetic severity
recovery,ann_arbor,326,14,baseline,0.2,17.36794090270996,0.6021787524223328,0.8854373485375983,0.08033262193202972,0.1353950947523117,0.0,0.14630760252475739,same scene across synthetic severity
recovery,ann_arbor,326,14,ours,0.5,13.844923973083496,0.5281855463981628,0.7287696979789587,0.11201179027557373,0.20312049984931946,0.03048131614923477,0.16765782237052917,same scene across synthetic severity
recovery,ann_arbor,326,14,baseline,0.5,13.96133041381836,0.5183457732200623,0.7321819642748624,0.11922796070575714,0.20041650533676147,0.0,0.1924753189086914,same scene across synthetic severity
cross_dataset,ann_arbor,70,10,ours,0.3,16.5205135345459,0.5018078088760376,0.8769919636514639,0.09833298623561859,0.14927062392234802,0.023636989295482635,0.13121062517166138,Week 7 robust protocol
cross_dataset,ann_arbor,70,10,baseline,0.3,15.783929824829102,0.47644931077957153,0.8402331139322756,0.11209306865930557,0.16248135268688202,0.0,0.15986229479312897,Week 7 robust protocol
cross_dataset,kust4k,idx_90,90,ours,0.3,19.128095626831055,0.4981229901313782,0.8460377996348886,0.08345626294612885,0.11055927723646164,0.04296380653977394,0.06501627713441849,legacy within-dataset checkpoint
cross_dataset,kust4k,idx_90,90,baseline,0.3,18.666229248046875,0.4841074049472809,0.8256676548035436,0.09035713225603104,0.11659731715917587,0.0,0.14789803326129913,legacy within-dataset checkpoint
cross_dataset,caltech_cart,idx_12,12,ours,0.3,21.116886138916016,0.38958168029785156,0.5661926875009502,0.06873796880245209,0.08793377876281738,0.03930949792265892,0.18473771214485168,legacy within-dataset checkpoint
cross_dataset,caltech_cart,idx_12,12,baseline,0.3,20.62077522277832,0.38613957166671753,0.5226617891512254,0.07272738963365555,0.09310248494148254,0.0,0.22242023050785065,legacy within-dataset checkpoint
