run,arch,dataset,seed,train_sigma,eval_sigma,translation_frac,rotation_deg,scale_frac,epochs,res,batch_size,train_count,val_count,final_val_mae,final_val_psnr,final_val_ssim,final_val_corr,final_theta_l2,final_flow_l2,final_flow_tv,final_warp_rgb_mae,final_uncertainty,delta_vs_no_registration,knox_path
week4_no_registration_kust4k_sigma03_amp_seed42_e20,no_registration,kust4k,42,0.3,0.3,0.2,20.0,0.25,20,256,8,1970,283,0.08809450888091389,19.030668888833414,0.6689071707927717,0.752844513559664,0.0,0.0,0.0,0.08877496815514291,0.0,,week4_runs/week4_no_registration_kust4k_sigma03_amp_seed42_e20
week4_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed42_e20,input_rgb_affine,kust4k,42,0.3,0.3,0.2,20.0,0.25,20,256,8,1970,283,0.0864256726637114,19.177713943454485,0.6717454926917072,0.7569093374020931,0.03921095563868857,0.0,0.0,0.05738206043268434,0.19889292143311602,0.14704505462107065,week4_runs/week4_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed42_e20
week5_no_registration_kust4k_sigma03_amp_seed7_e20,no_registration,kust4k,7,0.3,0.3,0.2,20.0,0.25,20,256,8,1970,283,0.08785600013135811,18.993341995212297,0.6678888318606063,0.7522059026378538,0.0,0.0,0.0,0.09085810600694377,0.0,,week5_runs/week5_no_registration_kust4k_sigma03_amp_seed7_e20
week5_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed7_e20,input_rgb_affine,kust4k,7,0.3,0.3,0.2,20.0,0.25,20,256,8,1970,283,0.08828089605398187,19.013342412537483,0.6691757629069338,0.7513554970762066,0.03991082369089916,0.0,0.0,0.05702673854242151,0.19438874167340806,0.020000417325185538,week5_runs/week5_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed7_e20
week5_no_registration_kust4k_sigma03_amp_seed123_e20,no_registration,kust4k,123,0.3,0.3,0.2,20.0,0.25,20,256,8,1970,283,0.08843854190156443,18.995051909672497,0.6679013268265201,0.7482810213223774,0.0,0.0,0.0,0.09194653528281443,0.0,,week5_runs/week5_no_registration_kust4k_sigma03_amp_seed123_e20
week5_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed123_e20,input_rgb_affine,kust4k,123,0.3,0.3,0.2,20.0,0.25,20,256,8,1970,283,0.08739462744957988,19.115127135502576,0.670215387647649,0.7510756367380101,0.04164989115571597,0.0,0.0,0.05561090810279494,0.19965703342794425,0.12007522583007812,week5_runs/week5_input_rgb_affine_warprgb1_kust4k_sigma03_amp_seed123_e20
week4_no_registration_caltech_cart_sigma03_amp_seed42_e20,no_registration,caltech_cart,42,0.3,0.3,0.2,20.0,0.25,20,256,8,1822,222,0.08700677150910771,20.0677615328952,0.7083164736762777,0.7730441544357981,0.0,0.0,0.0,0.08883561149474468,0.0,,week4_runs/week4_no_registration_caltech_cart_sigma03_amp_seed42_e20
week4_input_rgb_affine_warprgb1_caltech_cart_sigma03_amp_seed42_e20,input_rgb_affine,caltech_cart,42,0.3,0.3,0.2,20.0,0.25,20,256,8,1822,222,0.07633351832460444,21.26404027681093,0.7232061649362246,0.8238415193733499,0.03917593800102,0.0,0.0,0.058200007996748425,0.11547898613168178,1.1962787439157303,week4_runs/week4_input_rgb_affine_warprgb1_caltech_cart_sigma03_amp_seed42_e20
week5_no_registration_caltech_cart_sigma03_amp_seed7_e20,no_registration,caltech_cart,7,0.3,0.3,0.2,20.0,0.25,20,256,8,1822,222,0.08508395466550782,20.203241148510493,0.7114068963103466,0.7676815005043973,0.0,0.0,0.0,0.09016983113713092,0.0,,week5_runs/week5_no_registration_caltech_cart_sigma03_amp_seed7_e20
week5_input_rgb_affine_warprgb1_caltech_cart_sigma03_amp_seed7_e20,input_rgb_affine,caltech_cart,7,0.3,0.3,0.2,20.0,0.25,20,256,8,1822,222,0.07952925174387994,20.85746799503361,0.7187441863992192,0.8022994062498987,0.04074885186462386,0.0,0.0,0.057818562727891376,0.11422660945587464,0.654226846523116,week5_runs/week5_input_rgb_affine_warprgb1_caltech_cart_sigma03_amp_seed7_e20
